window_start_phi_deg,window_stop_phi_deg,sample_count,gain_total_min_dbi,gain_total_min_theta_deg,gain_total_min_phi_deg,gain_total_max_dbi,gain_total_max_theta_deg,gain_total_max_phi_deg,candidate,candidate_index
70.0,340.0,50,-3.1857431228105,90.0,90.0,4.25559927178597,45.0,70.0,h5p0_l8p8_w9p6_feed1p10_wide,5
75.0,345.0,40,-3.1857431228105,90.0,90.0,4.05434013218438,45.0,75.0,h5p0_l8p8_w9p6_feed1p10_wide,5
80.0,350.0,30,-3.1857431228105,90.0,90.0,3.83536638102966,45.0,80.0,h5p0_l8p8_w9p6_feed1p10_wide,5
85.0,355.0,20,-3.1857431228105,90.0,90.0,3.59847176713106,45.0,85.0,h5p0_l8p8_w9p6_feed1p10_wide,5
90.0,0.0,20,-3.1857431228105,90.0,90.0,5.54874887263356,45.0,0.0,h5p0_l8p8_w9p6_feed1p10_wide,5
0.0,270.0,190,-2.9829701384121,90.0,90.0,5.19095152041549,45.0,0.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
5.0,275.0,180,-2.9829701384121,90.0,90.0,5.18170666082202,45.0,5.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
10.0,280.0,170,-2.9829701384121,90.0,90.0,5.16633228617229,45.0,10.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
15.0,285.0,160,-2.9829701384121,90.0,90.0,5.14589147943617,45.0,15.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
20.0,290.0,150,-2.9829701384121,90.0,90.0,5.12108267619286,45.0,20.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
25.0,295.0,140,-2.9829701384121,90.0,90.0,5.09139241112975,45.0,25.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
30.0,300.0,130,-2.9829701384121,90.0,90.0,5.0545124806287,45.0,30.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
35.0,305.0,120,-2.9829701384121,90.0,90.0,5.00639005676244,45.0,35.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
40.0,310.0,110,-2.9829701384121,90.0,90.0,4.94201519929909,45.0,40.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
45.0,315.0,100,-2.9829701384121,90.0,90.0,4.85670217872454,45.0,45.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
50.0,320.0,90,-2.9829701384121,90.0,90.0,4.74737802873929,45.0,50.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
55.0,325.0,80,-2.9829701384121,90.0,90.0,4.61338294705299,45.0,55.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
60.0,330.0,70,-2.9829701384121,90.0,90.0,4.45650390400467,45.0,60.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
65.0,335.0,60,-2.9829701384121,90.0,90.0,4.28028600401852,45.0,65.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
70.0,340.0,50,-2.9829701384121,90.0,90.0,4.08894758485531,45.0,70.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
75.0,345.0,40,-2.9829701384121,90.0,90.0,3.88634994843809,45.0,75.0,h5p0_l8p8_w8p0_feed1p25_lip0p8,6
